index,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
dia33_utt6,['none'],['hurt'],['to get away'],['mean'],['gets arrested'],['to be mean'],['to be a bully'],['powerful'],['to be a bully']
dia33_utt7,['none'],['none'],['none'],['dominant'],['none'],['none'],['none'],['powerful'],['to be respected']
dia33_utt8,['none'],['none'],['none'],['mean'],['none'],['to be mean'],['none'],['guilty'],['to be left alone']
dia33_utt9,['none'],['none'],['none'],['indifferent'],['none'],['none'],['none'],['happy'],['to be left alone']
dia33_utt10,['none'],['none'],['none'],['lucky'],['gets a date'],['none'],['none'],['happy'],['to get to know them']
dia33_utt11,['none'],['none'],['none'],['careless'],['gets bitten'],['none'],['none'],['ashamed'],['to get away with it']
dia33_utt12,['none'],['none'],['none'],['mean'],['none'],['to be mean'],['none'],['good'],['to be a bully']
dia33_utt13,['none'],['none'],['none'],['mean'],['none'],['none'],['none'],['sad'],['to call me']
dia33_utt14,['none'],['none'],['none'],['lonely'],['none'],['none'],['none'],['sad'],['to get away from people']
dia33_utt15,['none'],['none'],['none'],['mean'],['none'],['to be a bad influence'],['none'],['powerful'],['to be a leader']
dia33_utt16,['none'],['none'],['to get away from personx'],['mean'],['gets yelled at'],['to be mean'],['none'],['powerful'],['to be a bully']
dia33_utt17,['none'],['none'],['none'],['religious'],['none'],['none'],['none'],['happy'],['to pray']
dia34_utt0,['none'],['none'],['none'],['determined'],['gets fired'],['to be a good employee'],['to have a job'],['satisfied'],['to fire people']
dia34_utt1,['none'],['none'],['none'],['determined'],['none'],['none'],['none'],['satisfied'],['to get a good job']
dia34_utt2,['none'],['hurt'],['to get medical attention'],['clumsy'],['gets hurt'],['none'],['none'],['hurt'],['to apologize']
dia44_utt0,['none'],['none'],['none'],['happy'],['none'],['none'],['none'],['happy'],['to be a good friend']
dia44_utt1,['none'],['none'],['none'],['overwhelmed'],['none'],['none'],['none'],['overwhelmed'],['to get a drink']
dia44_utt2,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia44_utt3,['none'],['none'],['none'],['beautiful'],['gets compliments'],['to impress others'],['to buy makeup'],['happy'],['to impress others']
dia44_utt4,['none'],['none'],['none'],['pleased'],['none'],['none'],['none'],['happy'],['to be successful']
dia44_utt5,['none'],['none'],['none'],['caring'],['gets scratched'],['to have a cat'],['none'],['happy'],['to feed the cat']
dia44_utt7,['none'],['none'],['none'],['caring'],['none'],['to have a pet'],['none'],['happy'],['to feed it']
dia44_utt8,['none'],['none'],['none'],['bored'],['none'],['none'],['none'],['bored'],['to find a new hobby']
dia44_utt9,['none'],['none'],['none'],['caring'],['none'],['to be nice'],['none'],['happy'],['to be a good son']
dia44_utt11,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['happy'],['to go to the party']
dia44_utt12,['none'],['none'],['none'],['homesick'],['none'],['none'],['to have a passport'],['sad'],['to go home']
dia44_utt13,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['good'],['to be right']
dia44_utt14,['none'],['none'],['none'],['intelligent'],['none'],['none'],['none'],['informed'],['to learn more']
dia44_utt15,['none'],['none'],['none'],['famous'],['none'],['none'],['none'],['proud'],['to be famous']
dia44_utt16,['none'],['none'],['none'],['unfair'],['none'],['none'],['none'],['superior'],['to be right']
dia66_utt0,['none'],['none'],['none'],['ignorant'],['none'],['none'],['none'],['none'],['none']
dia66_utt1,['none'],['none'],['none'],['determined'],['gets stressed'],['to solve the problem'],['to have a problem'],['frustrated'],['to solve the problem']
dia66_utt2,['none'],['none'],['none'],['careless'],"[""but i do n't believe it""]",['to make me feel bad'],['none'],['guilty'],['to make me feel bad']
dia66_utt3,['none'],['none'],['none'],['unskilled'],['gets drunk'],['none'],['none'],['sad'],['to get a drink']
dia66_utt4,['none'],['none'],['none'],['brave'],['none'],['none'],['none'],['happy'],['to be a hero']
dia66_utt5,['none'],['none'],['none'],['nostalgic'],['none'],['to remember'],['none'],['nostalgic'],['to remember']
dia66_utt6,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['happy'],['to clean up']
dia66_utt7,['none'],['none'],['none'],['careless'],['gets yelled at'],['none'],['none'],['upset'],['to clean up']
dia66_utt8,['none'],['sad'],['to get help'],['scared'],['gets a cast'],['none'],"[""to have a relationship with personx 's boyfriend""]",['sad'],['to get help']
dia66_utt9,['none'],['none'],['none'],['hopeful'],['none'],['none'],['none'],['excited'],['to have fun']
dia66_utt10,['none'],['none'],['none'],['dumb'],['none'],['none'],['none'],['confused'],['to ask questions']
dia66_utt11,['none'],['none'],['none'],['unskilled'],['none'],['none'],['none'],['sad'],['to be more careful']
dia66_utt12,['none'],['none'],['none'],['thoughtful'],['none'],['none'],['none'],['happy'],['to be a good friend']
dia66_utt13,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['confused'],['to be a good person']
dia66_utt14,['none'],['none'],['none'],['stubborn'],['none'],['none'],['none'],['frustrated'],['to be left alone']
dia66_utt15,['none'],['none'],['none'],['dumb'],['none'],['to be polite'],['none'],['happy'],['to be a good friend']
dia66_utt16,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['happy'],['to be successful']
dia66_utt17,['none'],['none'],['none'],['weak'],['none'],['none'],['none'],['helpless'],['to get away']
dia68_utt0,['none'],['none'],['none'],['careless'],['gets yelled at'],['none'],['to be in the store'],['guilty'],['to go home']
dia68_utt1,['none'],['none'],['none'],['happy'],['none'],['none'],['none'],['happy'],['to have fun']
dia68_utt2,['none'],['none'],['none'],['controlling'],['none'],['to be a good friend'],['none'],['satisfied'],['to be successful']
dia68_utt3,['none'],['none'],['none'],['curious'],['none'],['to try something new'],['none'],['satisfied'],['to try it again']
dia87_utt0,['none'],['none'],['none'],['tired'],['none'],['none'],['none'],['nervous'],['to get in the car']
dia87_utt1,['none'],['none'],['none'],['aware'],['none'],['none'],['to be in a meeting'],['happy'],['to ask persony for directions']
dia87_utt2,['none'],['none'],['none'],['curious'],['none'],['to see what they got'],['none'],['satisfied'],['to see what they say']
dia87_utt3,['none'],['none'],['none'],['aware'],['none'],['none'],['none'],['happy'],['to find a new friend']
dia87_utt4,['none'],['none'],['none'],['confident'],['none'],['none'],['none'],['happy'],['to be successful']
dia87_utt5,['none'],['none'],['none'],['lazy'],['none'],['to be alone'],['none'],['guilty'],['to get away']
dia87_utt6,['none'],['none'],['none'],['patient'],['none'],['none'],['none'],['happy'],['to get it over with']
dia87_utt7,['none'],['none'],['none'],['relaxed'],['none'],['to relax'],['none'],['relaxed'],['to relax']
dia87_utt8,['none'],['none'],['none'],['pleased'],['none'],['none'],['none'],['happy'],['to celebrate']
dia87_utt9,['none'],['none'],['none'],['relieved'],['none'],['none'],['none'],['relieved'],['to be thanked']
dia87_utt12,['none'],['none'],['none'],['interested'],['none'],['none'],['none'],['happy'],['to watch them']
dia87_utt13,['none'],['none'],['none'],['jealous'],['none'],['none'],['none'],['jealous'],['to get even']
dia87_utt14,['none'],['none'],['none'],['arrogant'],['none'],['none'],['none'],['happy'],['to be heard']
dia87_utt15,['none'],['none'],['none'],['jealous'],['none'],['none'],['none'],['jealous'],['to be jealous']
dia87_utt16,['none'],['none'],['none'],['understanding'],['none'],['none'],['none'],['smart'],['to understand']
dia87_utt17,['none'],['none'],['none'],['jealous'],['none'],['none'],['none'],['jealous'],['to be jealous']
dia87_utt18,['none'],['none'],['none'],['daring'],['none'],['to be a good actor'],['to have a video'],['satisfied'],['to show off']
dia87_utt19,['none'],['none'],['none'],['brave'],['none'],['to be successful'],['none'],['happy'],['to be successful']
dia87_utt20,['none'],['none'],['none'],['mean'],['none'],['none'],['none'],['happy'],['to get rid of him']
dia87_utt21,['none'],['none'],['none'],['lucky'],['gets a big prize'],['none'],['to have a good time'],['happy'],['to win']
dia92_utt0,['none'],['none'],['none'],['talkative'],['none'],['to be heard'],['none'],['happy'],['to get a drink']
dia92_utt1,['none'],['happy'],['none'],['friendly'],['none'],['to be friendly'],['none'],['happy'],['to say hello']
dia92_utt2,['none'],['none'],['none'],['curious'],['none'],['to talk'],['to have a phone'],['happy'],['to talk']
dia92_utt3,['none'],['none'],['none'],['dumb'],['none'],['none'],['none'],['frustrated'],['to get a new job']
dia92_utt4,['none'],['happy'],['none'],['social'],['none'],['to be polite'],['to have a phone'],['happy'],['to tell us about the event']
dia92_utt5,['none'],['none'],['none'],['curious'],['none'],['to find out who called'],['to have a phone'],['curious'],['to find out what it is']
dia92_utt6,['none'],['none'],['none'],['smart'],['none'],['to be a good person'],['none'],['happy'],['to get a new name']
dia92_utt7,['none'],['none'],['none'],['dumb'],['none'],['none'],['none'],['stupid'],['to get away with it']
dia92_utt8,['none'],['none'],['none'],['annoying'],['gets yelled at'],['to be annoying'],['none'],['smug'],['to get a good grade']
dia92_utt9,['none'],['none'],['to listen to personx'],['gossipy'],['none'],['to be heard'],['none'],['upset'],['to tell me something']
dia92_utt10,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia92_utt11,['none'],['none'],['none'],['determined'],['gets tired'],['to get a job done'],['to have a job'],['tired'],['to finish their work']
dia92_utt12,['none'],['none'],['none'],['calm'],['none'],['to be nice'],['none'],['relieved'],['to be a good friend']
dia92_utt13,['none'],['none'],['none'],['curious'],['none'],['to be heard'],['none'],['informed'],['to tell them something']
dia92_utt14,['none'],['none'],['none'],['loving'],['none'],['to be intimate'],['none'],['happy'],['to sleep']
dia92_utt16,['none'],['none'],['none'],['curious'],['gets caught'],['to find something'],['to have a tracking number'],['accomplished'],['to find the source']
dia105_utt0,['none'],['none'],['none'],['late'],['none'],['none'],['to be late'],['annoyed'],['to go to the store']
dia105_utt1,['none'],['grateful'],['none'],['helpful'],['none'],['to be helpful'],['to know how to set up'],['helpful'],['to help']
dia105_utt2,['none'],['none'],['none'],['friendly'],['none'],['to be friends'],['none'],['happy'],['to be friends']
dia105_utt3,['none'],['none'],['none'],['young'],['none'],['none'],['none'],['happy'],['to kiss me']
dia105_utt4,['none'],['none'],['none'],['responsible'],['none'],['none'],['none'],['happy'],['to have a baby']
dia105_utt5,['none'],['none'],['none'],['fast'],['none'],['to be a good sport'],['none'],['happy'],['to get a drink']
dia105_utt6,['none'],['none'],['none'],['responsible'],['none'],['none'],['none'],['happy'],['to get a good grade']
dia105_utt7,['none'],['none'],['none'],['strong'],['gets hurt'],['none'],['none'],['defeated'],['to get a drink']
dia105_utt8,['none'],['none'],['none'],['disgusted'],['gets dirty'],['to be helpful'],['none'],['disgusted'],['to get rid of the smell']
dia105_utt9,['none'],['none'],['none'],['clean'],['none'],['none'],['none'],['neutral'],['to clean up']
dia105_utt10,['none'],['none'],['none'],['arrogant'],['none'],['none'],['none'],['proud'],['to be acknowledged']
dia105_utt11,['none'],['none'],['none'],['determined'],['none'],['to be a better person'],['to be a teacher'],['good'],['to win']
dia105_utt12,['none'],['none'],['none'],['confident'],['none'],['none'],['none'],['happy'],['to be successful']
dia105_utt13,['none'],['none'],['none'],['unfashionable'],['none'],['to be safe'],['none'],['happy'],['to wear something else']
dia105_utt14,['none'],['none'],['none'],['cold'],['none'],['to be clothed'],['none'],['comfortable'],['to go to the party']
dia105_utt15,['none'],['none'],['none'],['unchanging'],['none'],['to be different'],['none'],['happy'],['to look different']
dia105_utt16,['none'],['none'],['none'],['horny'],['gets dirty'],['to be sexual'],['to have a reason to do it'],['satisfied'],['to get a good grade']
dia132_utt2,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['confused'],['to be correct']
dia132_utt3,['none'],['none'],['none'],['quiet'],['none'],['to be quiet'],['none'],['ashamed'],['to keep quiet']
dia145_utt0,['none'],['none'],['none'],['lazy'],['gets dirty'],['none'],['none'],['happy'],['to eat']
dia145_utt1,['none'],['annoyed'],['to get back to work'],['rude'],['none'],['to be mean'],['to be a jerk'],['guilty'],['to be left alone']
dia145_utt2,['none'],['none'],['none'],['stressed'],['none'],['none'],['none'],['upset'],['to get it over with']
dia165_utt0,['none'],['none'],['none'],['adventurous'],['none'],['to be with someone'],['none'],['happy'],['to go to the movies']
dia165_utt1,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['happy'],['to get a drink']
dia165_utt2,['none'],['none'],['none'],['lazy'],['none'],['none'],['none'],['happy'],['to be a good listener']
dia165_utt3,['none'],['none'],['none'],['agreeable'],['none'],['to be nice'],['none'],['relieved'],['to be a good friend']
dia165_utt4,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['satisfied'],['to be the best']
dia167_utt1,['none'],['none'],['none'],['untalented'],['gets yelled at'],['none'],['none'],['sad'],['to have fun']
dia167_utt2,['none'],['none'],['none'],['silly'],['gets yelled at'],['to look different'],['none'],['happy'],['to look good']
dia167_utt3,['none'],['none'],['none'],['lucky'],['none'],['to be rich'],['none'],['happy'],['to buy a car']
dia167_utt5,['none'],['none'],['none'],['confident'],['none'],['to be correct'],['none'],['good'],['to be correct']
dia167_utt6,['none'],['none'],['none'],['talented'],['none'],['none'],['none'],['happy'],['to impress others']
dia167_utt7,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia167_utt8,['none'],['none'],['none'],['worried'],['none'],['none'],['none'],['worried'],['to be careful']
dia167_utt9,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['guilty'],['to get away with it']
dia167_utt10,['none'],['none'],['none'],['determined'],['none'],['none'],['none'],['relieved'],['to settle']
dia167_utt11,['none'],['none'],['none'],['naive'],['none'],['none'],['none'],['confused'],['to be left alone']
dia167_utt12,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['annoyed'],['to be right']
dia167_utt13,['none'],['none'],['none'],['confident'],['none'],['none'],['none'],['excited'],['to be successful']
dia167_utt14,['none'],['none'],['none'],['understanding'],['none'],['to be helpful'],['none'],['happy'],['to be a good friend']
dia167_utt15,['none'],['none'],['none'],['excited'],['none'],['none'],['none'],['excited'],['to enjoy the moment']
dia176_utt0,['none'],['none'],['none'],['selfish'],['none'],['none'],['none'],['sad'],['to get rid of them']
dia176_utt1,['none'],['none'],['none'],['sorry'],['none'],['none'],['none'],['sad'],['to apologize']
dia176_utt2,['none'],['none'],['none'],['annoying'],['none'],['none'],['none'],['annoyed'],['to get away from it']
dia176_utt3,['none'],['none'],['none'],['hungry'],['gets dirty'],['to eat'],['to buy fruit'],['satisfied'],['to eat']
dia176_utt4,['none'],['none'],['none'],['hungry'],['none'],['none'],['none'],['hungry'],['to eat']
dia187_utt0,['none'],['none'],['none'],['adventurous'],['gets a reward'],['to be entertained'],['to have a treasure hunt'],['happy'],['to win the treasure hunt']
dia187_utt1,['none'],['none'],['none'],['rich'],['none'],['none'],['none'],['happy'],['to be rich']
dia187_utt2,['none'],['none'],['none'],['unintelligent'],['none'],['none'],['none'],['sad'],['to get a new job']
dia187_utt3,['none'],['none'],['none'],['skilled'],['none'],['to be a good person'],['none'],['happy'],['to be successful']
dia187_utt4,['none'],['none'],['none'],['old'],['none'],['none'],['none'],['happy'],['to be a good person']
dia187_utt5,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['confused'],['to be left alone']
dia187_utt6,['none'],['none'],['none'],['clumsy'],['none'],['none'],['none'],['confused'],['to be understood']
dia187_utt7,['none'],['none'],['none'],['intelligent'],['none'],['none'],['none'],['happy'],['to be a scientist']
dia187_utt8,['none'],['none'],['none'],['imaginative'],['none'],['to be imaginative'],['none'],['happy'],['to be convincing']
dia187_utt9,['none'],['none'],['none'],['ignorant'],['none'],['none'],['none'],['confused'],['to learn more about it']
dia187_utt10,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['happy'],['to tell others about the discovery']
dia187_utt11,['none'],['none'],['none'],['curious'],['gets ridiculed'],['none'],['none'],['happy'],['to find a way to explain it']
dia187_utt12,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['surprised'],['to get a better look']
dia187_utt13,['none'],['none'],['none'],['gullible'],['none'],['none'],['none'],['happy'],['to believe in ghosts']
dia187_utt14,['none'],['none'],['none'],['religious'],['none'],['none'],['none'],['spiritual'],['to pray']
dia187_utt15,['none'],['none'],['none'],['untrustworthy'],['none'],['none'],['none'],['happy'],['to be successful']
dia187_utt16,['none'],['none'],['none'],['careless'],['none'],['to be a good friend'],['none'],['happy'],['to be successful']
dia187_utt17,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['happy'],['to be right']
dia202_utt0,['none'],['none'],['to sleep'],['tired'],['gets yelled at'],['to be alone'],['to be tired'],['tired'],['to sleep']
dia202_utt1,['none'],['none'],['none'],['clever'],['gets a raise'],['to be successful'],['none'],['satisfied'],['to get a good deal']
dia202_utt2,['none'],['none'],['none'],['smart'],['none'],['to be right'],['none'],['good'],['to be successful']
dia202_utt3,['none'],['none'],['none'],['smart'],['none'],['to be successful'],['none'],['smart'],['to be successful']
dia202_utt4,['none'],['none'],['none'],['helpful'],['none'],['none'],['none'],['happy'],['to be a good friend']
dia202_utt5,['none'],['none'],['none'],['ready'],['none'],['to be ready'],['none'],['excited'],['to get a drink']
dia202_utt6,['to be honest'],['none'],['none'],['confused'],['none'],['none'],['none'],['sad'],['to apologize']
dia202_utt7,['none'],['none'],['none'],['excited'],['jumps up and down'],['none'],['none'],['excited'],['to celebrate']
dia202_utt8,['none'],['none'],['none'],['responsible'],['none'],['to be done'],['to have a pen'],['relieved'],['to get a signature']
dia202_utt10,['none'],['none'],['none'],['capable'],['none'],['none'],['none'],['happy'],['to be successful']
dia202_utt11,['none'],['none'],['none'],['aggressive'],['none'],['to be in control'],['none'],['excited'],['to get a drink']
dia202_utt12,['none'],['none'],['to have sex'],['passionate'],['gets a kiss'],['to be sexual'],['to be with someone'],['satisfied'],['to have sex']
dia202_utt13,['none'],['none'],['none'],['determined'],['gets stressed'],['to be productive'],['to have a plan'],['excited'],['to get a promotion']
dia202_utt14,['none'],['none'],['none'],['curious'],['gets slapped'],['to be noticed'],['to be near me'],['satisfied'],['to put shirt down']
dia202_utt15,['none'],['none'],['none'],['bold'],['gets dirty'],['to be naked'],['to be in a relationship'],['clean'],['to take a shower']
dia202_utt16,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['bad'],['to be correct']
dia202_utt17,['none'],['none'],['none'],['smart'],['none'],['to be honest'],['none'],['satisfied'],['to be successful']
dia202_utt18,['none'],['none'],['none'],['stubborn'],['none'],['none'],['none'],['annoyed'],['to get a new job']
dia202_utt19,['none'],['none'],['none'],['stubborn'],['none'],['to be alone'],['none'],['annoyed'],['to get a new job']
dia202_utt20,['none'],['none'],['none'],['needy'],['none'],['to be helpful'],['none'],['happy'],['to get a new job']
dia202_utt21,['none'],['none'],['none'],['friendly'],['none'],['to be with me'],['none'],['happy'],['to go to the movies']
dia202_utt22,['none'],['none'],['none'],['smart'],['none'],['to be right'],['none'],['happy'],['to be successful']
dia202_utt23,['none'],['none'],['none'],['untrustworthy'],['none'],['none'],['none'],['relieved'],['to be honest']
dia209_utt0,['none'],['none'],['none'],['horny'],['none'],['none'],['none'],['horny'],['to get a drink']
dia209_utt1,['none'],['none'],['none'],['dumb'],['none'],['to be funny'],['none'],['embarrassed'],['to tell everyone']
dia209_utt2,['none'],['none'],['none'],['quiet'],['none'],['to be quiet'],['none'],['good'],['to be quiet']
dia209_utt3,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['nervous'],['to ask someone out']
dia209_utt4,['none'],['none'],['none'],['decisive'],['gets fired'],['to be free'],['to have a job'],['relieved'],['to get a new job']
dia216_utt0,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['happy'],['to get a new car']
dia216_utt1,['none'],['none'],['none'],['poor'],['none'],['none'],['to buy tomatoes'],['happy'],['to eat']
dia216_utt2,['none'],['none'],['none'],['sure'],['none'],['none'],['none'],['satisfied'],['to be correct']
dia216_utt3,['none'],['none'],['none'],['dumb'],['none'],['none'],['none'],['none'],['none']
dia238_utt0,['none'],['none'],['none'],['mean'],['none'],['to be nice'],['none'],['happy'],['to get a drink']
dia238_utt1,['none'],['none'],['none'],['sad'],['none'],['none'],['none'],['sad'],['to be left alone']
dia238_utt2,['none'],['none'],['none'],['silly'],['none'],['none'],['none'],['silly'],['to be heard']
dia244_utt0,['none'],['none'],['none'],['determined'],['none'],['to be in control'],['none'],['happy'],['to be successful']
dia244_utt1,['none'],['none'],['none'],['magical'],['none'],['none'],['none'],['powerful'],['to be a witch']
dia244_utt2,['none'],['none'],['none'],['aware'],['none'],['none'],['none'],['happy'],['to be a good listener']
dia244_utt3,['none'],['none'],['none'],['smart'],['none'],['none'],['none'],['happy'],['to be correct']
dia244_utt4,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['embarrassed'],['to ask for help']
dia244_utt5,['none'],['none'],['none'],['aggressive'],['none'],['to be a good person'],['none'],['happy'],['to get a drink']
dia244_utt6,['none'],['none'],['none'],['scared'],['gets dizzy'],['none'],['none'],['scared'],['to get a drink']
dia244_utt7,['none'],['none'],['none'],['greedy'],['none'],['to be a good son'],['none'],['happy'],['to get a good name']
dia244_utt8,['none'],['none'],['none'],['capable'],['gets into accident'],['to get somewhere'],['to get in the car'],['excited'],['to get to their destination']
dia244_utt9,['none'],['none'],['none'],['content'],['none'],['none'],['none'],['satisfied'],['to be done']
dia244_utt10,['none'],['none'],['none'],['thirsty'],['none'],['to be a good employee'],['to be at the bar'],['happy'],['to go home']
dia244_utt11,['none'],['none'],['none'],['old'],['none'],['none'],['none'],['happy'],['to be a good listener']
dia244_utt12,['none'],['none'],['none'],['mean'],['none'],['none'],['none'],['angry'],['to avoid me']
dia244_utt13,['none'],['none'],['none'],['naive'],['none'],['none'],['none'],['disappointed'],['to be right']
dia244_utt14,['none'],['none'],['none'],['confident'],['none'],['none'],['none'],['happy'],['to be happy']
dia244_utt15,['none'],['none'],['none'],['dumb'],['none'],['none'],['none'],['annoyed'],['to get a drink']
dia244_utt16,['none'],['none'],['none'],['unconcerned'],['none'],['none'],['none'],['happy'],['to be left alone']
dia244_utt17,['none'],['none'],['none'],['curious'],['none'],['to be a good person'],['none'],['happy'],['to get a drink']
dia244_utt18,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia244_utt19,['none'],['none'],['none'],['careless'],['gets dirty'],['none'],['to be in river'],['happy'],['to swim']
dia281_utt1,['none'],['grateful'],['none'],['kind'],['none'],['to be generous'],['to be a good person'],['happy'],['to help others']
dia281_utt2,['none'],['none'],['none'],['brave'],['gets injured'],['to be strong'],['to be a fighter'],['strong'],['to win']
dia281_utt3,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['sad'],['to get a drink']
dia281_utt4,['none'],['none'],['none'],['addicted'],['gets cancer'],['to be healthy'],['to buy the weed'],['guilty'],['to get high']
dia281_utt5,['none'],['none'],['none'],['stinky'],['none'],['none'],['none'],['ashamed'],['to get away with it']
dia281_utt6,['none'],['none'],['none'],['lazy'],['none'],['to be punctual'],['none'],['satisfied'],['to get a good grade']
dia281_utt7,['none'],['none'],['none'],['talented'],['none'],['none'],['none'],['happy'],['to be successful']
dia281_utt8,['none'],['none'],['none'],['greedy'],['gets arrested'],['to eat'],['to go to the store'],['guilty'],['to eat the sour cherry']
dia281_utt9,['none'],['none'],['none'],['hardworking'],['gets tired'],['to make money'],['to get a job'],['satisfied'],['to get paid']
dia281_utt10,['none'],['none'],['none'],['mean'],['none'],['none'],['none'],['angry'],['to get away from persony']
dia281_utt12,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia281_utt13,['none'],['none'],['none'],['mean'],['gets yelled at'],['to eat'],['to have lunch'],['guilty'],['to eat']
dia281_utt16,['none'],['none'],['none'],['barbaric'],['none'],['none'],['none'],['satisfied'],['to be treated fairly']
dia281_utt17,['none'],['none'],['none'],['involved'],['none'],['none'],['none'],['happy'],['to get a promotion']
dia281_utt18,['none'],['none'],['none'],['calm'],['none'],['to be in control'],['none'],['calm'],['to be a good person']
dia281_utt19,['none'],['none'],['none'],['interested'],['is a photographer'],['to be a good friend'],['to be in the picture'],['happy'],['to show me the picture']
dia281_utt20,['none'],['none'],['none'],['determined'],['none'],['to be a good son'],['none'],['happy'],['to get a drink']
dia281_utt21,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['confused'],['to ask me questions']
dia288_utt0,['none'],['none'],['none'],['social'],['none'],['none'],['none'],['happy'],['to go home']
dia288_utt1,['none'],['none'],['none'],['remorseful'],['none'],['to be nice'],['to have a drink'],['sad'],['to make them feel better']
dia288_utt2,['none'],['none'],['none'],['happy'],['none'],['to be a good example'],['none'],['happy'],['to celebrate']
dia288_utt3,['none'],['none'],['none'],['sad'],['none'],['none'],['none'],['sad'],['to go to sleep']
dia288_utt4,['none'],['none'],['none'],['friendly'],['none'],['to be happy'],['none'],['happy'],['to be friends']
dia288_utt5,['none'],['none'],['none'],['confused'],['none'],['none'],['none'],['confused'],['to get an answer']
dia288_utt6,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['sad'],['to be left alone']
dia288_utt7,['none'],['none'],['to listen to personx'],['talkative'],['none'],['to be heard'],['none'],['happy'],['to tell more stories']
dia288_utt9,['none'],['grateful'],['to thank personx'],['generous'],['none'],['to be helpful'],['to have a spare air mattress'],['happy'],['to go camping']
dia288_utt10,['none'],['none'],['none'],['needy'],['none'],['none'],['none'],['upset'],['to get it back']
dia288_utt11,['none'],['none'],['to get to know personx'],['untrustworthy'],['none'],['to be alone'],['none'],['sad'],['to get married']
dia288_utt12,['none'],['none'],['none'],['emotional'],['none'],['none'],['none'],['happy'],['to be a good listener']
dia288_utt13,['none'],['none'],['none'],['passionate'],['none'],['none'],['to be with me'],['aroused'],['to have sex']
