index	oReact_retrieval	xReact_retrieval
dia66_utt7	Others feel ashamed, sad, repented	Jonah feels ashamed, sad, repented
dia66_utt8	Others feel none, none, none	Sandra feels none, none, none
dia66_utt9	Others feel indifferent, happy, anxious	Amy feels indifferent, happy, anxious
dia66_utt10	Others feel none, satisfied, better	Amy feels none, satisfied, better
dia66_utt11	Others feel sick, better, angry	Amy feels sick, better, angry
dia66_utt12	Others feel none, none, stuffed	Amy feels none, none, stuffed
dia66_utt13	Others feel none, meaningless, weak	Amy feels none, meaningless, weak
dia66_utt14	Others feel full, strong, none	Cheyenne feels full, strong, none
dia66_utt15	Others feel tense, proud, on top of the world	Amy feels tense, proud, on top of the world
dia66_utt16	Others feel suppressed, frustrated, helpful	Amy feels suppressed, frustrated, helpful
dia66_utt17	Others feel thankful, enlightened, happy, none, energetic	Amy feels thankful, enlightened, happy, none, energetic
dia68_utt0	Others feel none, none, sorry fot their sins	Glenn feels none, none, sorry fot their sins
dia68_utt1	Others feel amazed, excited, excited	Glenn feels amazed, excited, excited
dia68_utt2	Others feel none, not smart because fighting is dumb, pleased to have had an agreeable discussion	Nico feels none, not smart because fighting is dumb, pleased to have had an agreeable discussion
dia68_utt3	Others feel frustrated, annoyed, frustrated	Glenn feels frustrated, annoyed, frustrated
dia87_utt0	Others feel none, feels good, calm	Amy feels none, feels good, calm
dia87_utt1	Others feel none, none, none	Amy feels none, none, none
dia87_utt2	Others feel good to have it, satisfied, saved	Jonah feels good to have it, satisfied, saved
dia87_utt3	Others feel none, none, happy	Jonah feels none, none, happy
dia87_utt4	Others feel happy, content, full	Amy feels happy, content, full
dia87_utt5	Others feel satisfied, happy, happy	Jonah feels satisfied, happy, happy
dia87_utt6	Others feel glad it is over, none, none	Jonah feels glad it is over, none, none
dia87_utt7	Others feel relieved, helpful, relieved	Amy feels relieved, helpful, relieved
dia87_utt8	Others feel irritated, suppressed, frustrated	Amy feels irritated, suppressed, frustrated
dia87_utt9	Others feel attractive, anxious, ashamed	Amy feels attractive, anxious, ashamed
dia87_utt11	Others feel expansive, none, happy	Amy feels expansive, none, happy
dia87_utt12	Others feel damp, drenched, wet	Jonah feels damp, drenched, wet
dia87_utt13	Others feel friendly, caring, frienship	Jonah feels friendly, caring, frienship
dia87_utt14	Others feel different, excited to find missing items., concerned	Amy feels different, excited to find missing items., concerned
dia87_utt15	Others feel friendly, caring, frienship	Jonah feels friendly, caring, frienship
dia87_utt16	Others feel none, tasty, cool	Amy feels none, tasty, cool
dia87_utt17	Others feel hurried, rushed, rushed	Amy feels hurried, rushed, rushed
dia87_utt18	Others feel none, none, happy.	Amy feels none, none, happy.
dia87_utt19	Others feel pleased, content, full	Jonah feels pleased, content, full
dia87_utt20	Others feel none, satisfied, proud about acquired success, social leverage & believing in own abilities to achieve own set goals., happy.	Amy feels none, satisfied, proud about acquired success, social leverage & believing in own abilities to achieve own set goals., happy.
dia87_utt21	Others feel happy, content, happy	Amy feels happy, content, happy
dia92_utt0	Others feel full and refreshed, full, none	Glenn feels full and refreshed, full, none
dia92_utt1	Others feel full and refreshed, full, none	Glenn feels full and refreshed, full, none
dia92_utt2	Others feel relieved, happy, none	Glenn feels relieved, happy, none
dia92_utt3	Others feel none, none, satisfied	Garrett feels none, none, satisfied
dia92_utt4	Others feel full, worried, hurt	Glenn feels full, worried, hurt
dia92_utt5	Others feel informed yet obstinate, none, none	Glenn feels informed yet obstinate, none, none
dia92_utt6	Others feel determined, complete, satisfied., none	Glenn feels determined, complete, satisfied., none
dia92_utt7	Others feel proud, satisfied, happy	Glenn feels proud, satisfied, happy
dia92_utt8	Others feel cold, wet, glad they poured in on them	Glenn feels cold, wet, glad they poured in on them
dia92_utt9	Others feel nervous., none, none	Nico feels nervous., none, none
dia92_utt10	Others feel none, thankful, helpful	Glenn feels none, thankful, helpful
dia92_utt11	Others feel interested in their new friend, like they gained someone who would be there for them, great	Jonah feels interested in their new friend, like they gained someone who would be there for them, great
dia92_utt12	Others feel happy, content, full	Glenn feels happy, content, full
dia92_utt13	Others feel tough, guilty, tired	Nico feels tough, guilty, tired
dia92_utt14	Others feel ready, sleepy, none	Glenn feels ready, sleepy, none
dia92_utt16	Others feel none, none, compassionate	Garrett feels none, none, compassionate
dia105_utt0	Others feel thankful, friendly, happy	Amy feels thankful, friendly, happy
dia105_utt1	Others feel dominant, controlling, superior	Dina feels dominant, controlling, superior
dia105_utt2	Others feel fast, competitive, ready to run	Dina feels fast, competitive, ready to run
dia105_utt3	Others feel productive, appreciative, none	Dina feels productive, appreciative, none
dia105_utt4	Others feel none, nan, like they remember their friend.	Dina feels none, nan, like they remember their friend.
dia105_utt5	Others feel informed, excited about his fame, upset	Amy feels informed, excited about his fame, upset
dia105_utt6	Others feel excited about documenting own professional development & performance., none, none	Dina feels excited about documenting own professional development & performance., none, none
dia105_utt7	Others feel alive, healthy, sad	Dina feels alive, healthy, sad
dia105_utt8	Others feel afraid, brave, eager	Dina feels afraid, brave, eager
dia105_utt9	Others feel none, none, satisfied	Amy feels none, none, satisfied
dia105_utt10	Others feel hurt, sad, bad	Dina feels hurt, sad, bad
dia105_utt11	Others feel loved, attached, proud	Dina feels loved, attached, proud
dia105_utt12	Others feel good, helpful, satisfied	Dina feels good, helpful, satisfied
dia105_utt13	Others feel friendly, happy, connected	Dina feels friendly, happy, connected
dia105_utt14	Others feel thoughtful, curious, shocked	Amy feels thoughtful, curious, shocked
dia105_utt15	Others feel none, unappreciated, dead	Dina feels none, unappreciated, dead
dia105_utt16	Others feel none, accomplished, tired.	Dina feels none, accomplished, tired.
dia132_utt0	Others feel admiration, none, happy	Jonah feels admiration, none, happy
dia132_utt1	Others feel stupid, none, like they have a new boss	Jonah feels stupid, none, like they have a new boss
dia132_utt2	Others feel none, none, none	Jonah feels none, none, none
dia132_utt3	Others feel stuffed, satisfied, better	Garrett feels stuffed, satisfied, better
dia145_utt0	Others feel upset, nervous, none	Garrett feels upset, nervous, none
dia145_utt1	Others feel righteous, victorious, upset	Garrett feels righteous, victorious, upset
dia145_utt2	Others feel angry, two, annoyed	Jonah feels angry, two, annoyed
dia145_utt3	Others feel dejected, disillustioned, downtrodden	Garrett feels dejected, disillustioned, downtrodden
dia165_utt0	Others feel none, none, responsible	Kelly feels none, none, responsible
dia165_utt1	Others feel useful, happy, good	Kelly feels useful, happy, good
dia165_utt2	Others feel like they weren't good enough, wothless, dejected	Kelly feels like they weren't good enough, wothless, dejected
dia165_utt3	Others feel relieved that work is over, none, none	superstore person2 feels relieved that work is over, none, none
dia165_utt4	Others feel none, nervous, none	Kelly feels none, nervous, none
dia167_utt0	Others feel prejudiced against, none, sad	Jeff feels prejudiced against, none, sad
dia167_utt1	Others feel she can talk with others about the flick, cause it's all the rage, happy to go hiking, unknowing	Marcus feels she can talk with others about the flick, cause it's all the rage, happy to go hiking, unknowing
dia167_utt2	Others feel none, excited to save money, relieved	Jonah feels none, excited to save money, relieved
dia167_utt3	Others feel starving, full, satisfied	Jeff feels starving, full, satisfied
dia167_utt4	Others feel worried, nervous, overworked, tired	Jeff feels worried, nervous, overworked, tired
dia167_utt5	Others feel none, wonderfull, attractive	Jonah feels none, wonderfull, attractive
dia167_utt6	Others feel full, excited, satisfied	Marcus feels full, excited, satisfied
dia167_utt7	Others feel none, happy, good	Amy feels none, happy, good
dia167_utt8	Others feel welcome, happy, happy	Amy feels welcome, happy, happy
dia167_utt9	Others feel eager, excited, none	Jeff feels eager, excited, none
dia167_utt10	Others feel none, relieved, ok	Jeff feels none, relieved, ok
dia167_utt11	Others feel protected, pleased, strong	Jeff feels protected, pleased, strong
dia167_utt12	Others feel like his day was done, tired, relieved	Jeff feels like his day was done, tired, relieved
dia167_utt13	Others feel irritated, surprised, relieved	Jeff feels irritated, surprised, relieved
dia167_utt14	Others feel disgusted, involved, alert	Jeff feels disgusted, involved, alert
dia167_utt15	Others feel irritated, surprised, relieved	Marcus feels irritated, surprised, relieved
dia176_utt0	Others feel suspicious, proud, accomplished	Nico feels suspicious, proud, accomplished
dia176_utt1	Others feel scared, nervous, excited	Nico feels scared, nervous, excited
dia176_utt2	Others feel productive, overwhelmed, none	Kelly feels productive, overwhelmed, none
dia176_utt3	Others feel none, proud, satisfied	Kelly feels none, proud, satisfied
dia176_utt4	Others feel caring, generous, in pain	Nico feels caring, generous, in pain
dia187_utt0	Others feel energized, dirty, excited	Amy feels energized, dirty, excited
dia187_utt1	Others feel none, nervous, dressed up	Jonah feels none, nervous, dressed up
dia187_utt2	Others feel fine, refreshed, recharged	Amy feels fine, refreshed, recharged
dia187_utt3	Others feel upset, clumsy, anxious	Cheyenne feels upset, clumsy, anxious
dia187_utt4	Others feel successful, good, betrayed	Marcus feels successful, good, betrayed
dia187_utt5	Others feel angry, none, stuffed	Jonah feels angry, none, stuffed
dia187_utt6	Others feel buyer's remorse, sorowful, nan	Cody feels buyer's remorse, sorowful, nan
dia187_utt7	Others feel generous, happy and loved, better after the event.	Jonah feels generous, happy and loved, better after the event.
dia187_utt8	Others feel happy and loved, better after the event., protected	Jonah feels happy and loved, better after the event., protected
dia187_utt9	Others feel competive, competititve, annoyed	Sandra feels competive, competititve, annoyed
dia187_utt10	Others feel like they are getting somewhere, satisfied, none	Sandra feels like they are getting somewhere, satisfied, none
dia187_utt11	Others feel competive, competititve, annoyed	Sandra feels competive, competititve, annoyed
dia187_utt12	Others feel like they are getting somewhere, satisfied, none	Jonah feels like they are getting somewhere, satisfied, none
dia187_utt13	Others feel competive, competititve, annoyed	Sandra feels competive, competititve, annoyed
dia187_utt14	Others feel satisfied, thirsty, none	Kelly feels satisfied, thirsty, none
dia187_utt15	Others feel glad, satisfied, grateful for the money	Jonah feels glad, satisfied, grateful for the money
dia187_utt16	Others feel helped, crowded, neutral.	Kelly feels helped, crowded, neutral.
dia187_utt17	Others feel also excited, anxious, worried	Marcus feels also excited, anxious, worried
dia202_utt0	Others feel neutral, grateful, thankful	Dina feels neutral, grateful, thankful
dia202_utt1	Others feel intrigued, none, better about themselves	Dina feels intrigued, none, better about themselves
dia202_utt2	Others feel none, happy, good	Marcus feels none, happy, good
dia202_utt3	Others feel good, none, in awe	Marcus feels good, none, in awe
dia202_utt4	Others feel grateful, glad, happy	Glenn feels grateful, glad, happy
dia202_utt5	Others feel none, none, uplifted	Glenn feels none, none, uplifted
dia202_utt6	Others feel intruded upon, helpful, helped	Glenn feels intruded upon, helpful, helped
dia202_utt7	Others feel none, good someone could use their old stuff, none	Sandra feels none, good someone could use their old stuff, none
dia202_utt8	Others feel hurt, sick, bad	Sandra feels hurt, sick, bad
dia202_utt9	Others feel happy, lazy, guilty	Dina feels happy, lazy, guilty
dia202_utt10	Others feel none, happy, none	Glenn feels none, happy, none
dia202_utt11	Others feel ready to start the day, satisfied, none	Dina feels ready to start the day, satisfied, none
dia202_utt12	Others feel amazed, accomplished, none	Dina feels amazed, accomplished, none
dia202_utt13	Others feel none, good someone could use their old stuff, none	Dina feels none, good someone could use their old stuff, none
dia202_utt14	Others feel helpful, full and happy after eating, happy to have indulged in it	Glenn feels helpful, full and happy after eating, happy to have indulged in it
dia202_utt15	Others feel angry, afraid, remorse	Dina feels angry, afraid, remorse
dia202_utt16	Others feel good for being a unique individual, proud of personx, none	Glenn feels good for being a unique individual, proud of personx, none
dia202_utt17	Others feel none, none, frustrated	Nico feels none, none, frustrated
dia202_utt18	Others feel traumatized, none, none	Nico feels traumatized, none, none
dia202_utt19	Others feel disappointed, happy, thrilled	Glenn feels disappointed, happy, thrilled
dia202_utt20	Others feel none, knowledgeable, happy and contented	Glenn feels none, knowledgeable, happy and contented
dia202_utt21	Others feel happy, content, full	Dina feels happy, content, full
dia202_utt22	Others feel none, happy, good	Glenn feels none, happy, good
dia202_utt23	Others feel none, meaningless, weak	Marcus feels none, meaningless, weak
dia209_utt0	Others feel secure, happy, none	Marcus feels secure, happy, none
dia209_utt1	Others feel none, none, good.	Marcus feels none, none, good.
dia209_utt2	Others feel none, drained., none	Marcus feels none, drained., none
dia209_utt3	Others feel innovative, creative, intelligent	Amy feels innovative, creative, intelligent
dia209_utt4	Others feel happy, happy and romantic, none	Marcus feels happy, happy and romantic, none
dia216_utt0	Others feel none, none, fascinated	Jonah feels none, none, fascinated
dia216_utt1	Others feel none, attainment, like he or she succeeded	Jonah feels none, attainment, like he or she succeeded
dia216_utt2	Others feel accomplished, none, none	Kelly feels accomplished, none, none
dia216_utt3	Others feel less guilty, happier, happy	Kelly feels less guilty, happier, happy
dia238_utt0	Others feel none, none, none	Glenn feels none, none, none
dia238_utt1	Others feel cared for, none, satisfied	Sandra feels cared for, none, satisfied
dia238_utt2	Others feel occupied, ready, useful	superstore person2 feels occupied, ready, useful
dia244_utt0	Others feel knowledgeable, none, sad and unwanted	Amy feels knowledgeable, none, sad and unwanted
dia244_utt1	Others feel scared, nervous, less hungry	Amy feels scared, nervous, less hungry
dia244_utt2	Others feel less hungry, sated, none	Jonah feels less hungry, sated, none
dia244_utt3	Others feel less hungry, full, sated	Amy feels less hungry, full, sated
dia244_utt4	Others feel none, proud, fulfilled.	Amy feels none, proud, fulfilled.
dia244_utt5	Others feel grateful, happy, better	Amy feels grateful, happy, better
dia244_utt6	Others feel uncertain to tell at this juncture., none, safe.	Jonah feels uncertain to tell at this juncture., none, safe.
dia244_utt7	Others feel happy as they are being admired., good, satisfied	Amy feels happy as they are being admired., good, satisfied
dia244_utt8	Others feel excited, hungry, none	Jonah feels excited, hungry, none
dia244_utt9	Others feel none, good and productive., proud	Jonah feels none, good and productive., proud
dia244_utt10	Others feel none, none, happy.	Jonah feels none, none, happy.
dia244_utt11	Others feel sated, none, less hungry	Amy feels sated, none, less hungry
dia244_utt12	Others feel thankful, relieved, helpful	Jonah feels thankful, relieved, helpful
dia244_utt13	Others feel none, expectant to find something, belittled.	Amy feels none, expectant to find something, belittled.
dia244_utt14	Others feel in power, none, none	Jonah feels in power, none, none
dia244_utt15	Others feel like they made a good decision., glad to have been given importance, happy	Amy feels like they made a good decision., glad to have been given importance, happy
dia244_utt16	Others feel none, the person helping x is affected, angry	Amy feels none, the person helping x is affected, angry
dia244_utt17	Others feel good to have it, wanted, excited for having a fun day.	Jonah feels good to have it, wanted, excited for having a fun day.
dia244_utt18	Others feel none, none, none	Amy feels none, none, none
dia244_utt19	Others feel none, sad, interested	Jonah feels none, sad, interested
dia281_utt0	Others feel none, none, none	superstore person1 feels none, none, none
dia281_utt1	Others feel disappointed that their effort wasn't more successful, like the abilities of his coworkers is amazing, loved	superstore person1 feels disappointed that their effort wasn't more successful, like the abilities of his coworkers is amazing, loved
dia281_utt2	Others feel loved, special, none	superstore person1 feels loved, special, none
dia281_utt3	Others feel loved, special, none	Glenn feels loved, special, none
dia281_utt4	Others feel satisfied, full, regretfull for eating too much.	superstore person2 feels satisfied, full, regretfull for eating too much.
dia281_utt5	Others feel lonely, alone, unloved	Dina feels lonely, alone, unloved
dia281_utt6	Others feel relieved, prepared, happy.	superstore person2 feels relieved, prepared, happy.
dia281_utt7	Others feel happy, competitive, productive	superstore person2 feels happy, competitive, productive
dia281_utt8	Others feel free, none, none	Myrtle feels free, none, none
dia281_utt9	Others feel responsible, glad for having the opportunity to correct, grateful	Glenn feels responsible, glad for having the opportunity to correct, grateful
dia281_utt10	Others feel predictable, none, talented	Sandra feels predictable, none, talented
dia281_utt11	Others feel happy, relieved, weak	Sandra feels happy, relieved, weak
dia281_utt12	Others feel relaxed, thrilled, world-enriched	Dina feels relaxed, thrilled, world-enriched
dia281_utt13	Others feel neutral, content, secure	Carol feels neutral, content, secure
dia281_utt14	Others feel like a useful person, friendly, helpful	Myrtle feels like a useful person, friendly, helpful
dia281_utt15	Others feel embarassed, satisfied, satiated	superstore person1 feels embarassed, satisfied, satiated
dia281_utt16	Others feel inquisitive, useful to x, angry	superstore person1 feels inquisitive, useful to x, angry
dia281_utt17	Others feel protected., loved., nervous	Glenn feels protected., loved., nervous
dia281_utt18	Others feel included, happy, panicked	Dina feels included, happy, panicked
dia281_utt19	Others feel respected, polite, kind	Dina feels respected, polite, kind
dia281_utt20	Others feel scared, angry., happy	superstore person1 feels scared, angry., happy
dia281_utt21	Others feel nervous., none, none	Dina feels nervous., none, none
dia288_utt0	Others feel like x really cares, happy, excited	Jeff feels like x really cares, happy, excited
dia288_utt1	Others feel angry, clumsy, grateful	Amy feels angry, clumsy, grateful
dia288_utt2	Others feel hot, tired, hot	Nico feels hot, tired, hot
dia288_utt3	Others feel none, excited to save money, relieved they're in time	Dina feels none, excited to save money, relieved they're in time
dia288_utt4	Others feel calm, grateful, good	Dina feels calm, grateful, good
dia288_utt5	Others feel surprised, lonely, glad to have been given importance	Dina feels surprised, lonely, glad to have been given importance
dia288_utt6	Others feel creative, accomplished, overjoyed to get their lives back.	Jeff feels creative, accomplished, overjoyed to get their lives back.
dia288_utt7	Others feel none, excited to save money, relieved they're in time	Glenn feels none, excited to save money, relieved they're in time
dia288_utt8	Others feel satisfied., happy to be there, excited to save money	Glenn feels satisfied., happy to be there, excited to save money
dia288_utt9	Others feel nosey, relief they found her, thrilled	Amy feels nosey, relief they found her, thrilled
dia288_utt10	Others feel that varied feedback from a variety of sources is definitely to his benefit., satisfied that he's explored as many options as he can., like a failure	Amy feels that varied feedback from a variety of sources is definitely to his benefit., satisfied that he's explored as many options as he can., like a failure
dia288_utt11	Others feel hurt, beautiful, sexy	Sandra feels hurt, beautiful, sexy
dia288_utt12	Others feel sad to have lost, inconvenienced, amazed at what he had accomplished	Sandra feels sad to have lost, inconvenienced, amazed at what he had accomplished
dia288_utt13	Others feel none, well fed, none	Sandra feels none, well fed, none
dia288_utt14	Others feel sad about leaving, happy where they are, content	Sandra feels sad about leaving, happy where they are, content
dia288_utt15	Others feel satisfied, relaxed, none	Sandra feels satisfied, relaxed, none
dia288_utt16	Others feel full, sated, none	Glenn feels full, sated, none
dia288_utt17	Others feel none, excited to save money, relieved they're in time	Glenn feels none, excited to save money, relieved they're in time
dia288_utt18	Others feel none, none, welcomed	Glenn feels none, none, welcomed
dia288_utt19	Others feel none, none, welcomed	Jeff feels none, none, welcomed
dia288_utt20	Others feel none, none, angry, cause he needs for nothing	Jeff feels none, none, angry, cause he needs for nothing
dia288_utt21	Others feel none, none, angry, cause he needs for nothing	Jeff feels none, none, angry, cause he needs for nothing
dia288_utt22	Others feel successful, respected, happy	Jeff feels successful, respected, happy
dia288_utt23	Others feel nothing., helpful, relieved	Glenn feels nothing., helpful, relieved
dia288_utt24	Others feel loved, ok, happy to be a good caretaker	Glenn feels loved, ok, happy to be a good caretaker
dia288_utt25	Others feel none, thankful, helpful	Glenn feels none, thankful, helpful
dia288_utt26	Others feel caught, happy personx put to justice., pained	Jeff feels caught, happy personx put to justice., pained
dia290_utt0	Others feel none, happy and contented with his skills, crafty	Glenn feels none, happy and contented with his skills, crafty
dia290_utt1	Others feel none, happy to experience a wide range of food flavors and textures, pretty	Glenn feels none, happy to experience a wide range of food flavors and textures, pretty
dia290_utt2	Others feel strong, accomplished, peaceful	Glenn feels strong, accomplished, peaceful
dia290_utt3	Others feel relaxed, lucky., none	Garrett feels relaxed, lucky., none
dia290_utt4	Others feel informative, persuasive, none	Garrett feels informative, persuasive, none
dia290_utt5	Others feel excited, satisfied for having helped., remembered	Glenn feels excited, satisfied for having helped., remembered
dia290_utt6	Others feel good, dutiful, none	Glenn feels good, dutiful, none
dia290_utt7	Others feel full, mean, forceful	Glenn feels full, mean, forceful
dia290_utt8	Others feel none, excited to save money, none	Garrett feels none, excited to save money, none
dia290_utt9	Others feel acknowledged and revered, comfortable, elated	Garrett feels acknowledged and revered, comfortable, elated
dia290_utt10	Others feel pained, pain, hopeful	Garrett feels pained, pain, hopeful
dia290_utt11	Others feel grateful to get back his life., grateful, accommodating	Glenn feels grateful to get back his life., grateful, accommodating
dia290_utt12	Others feel hopeful, friendly, social, that x has business acumen	Garrett feels hopeful, friendly, social, that x has business acumen
dia290_utt13	Others feel happy, glad, none	Glenn feels happy, glad, none
dia290_utt14	Others feel none, excited to save money, relieved they're in time	Glenn feels none, excited to save money, relieved they're in time
dia290_utt15	Others feel disappointed, relief, sunburned	Glenn feels disappointed, relief, sunburned
dia290_utt16	Others feel none, none, satisfied	Glenn feels none, none, satisfied
dia290_utt17	Others feel appreciated for their hard work., relieved, terrible.	Glenn feels appreciated for their hard work., relieved, terrible.
dia290_utt18	Others feel none, thankful, helpful	Glenn feels none, thankful, helpful
dia290_utt19	Others feel annoyed, afraid, tired	Glenn feels annoyed, afraid, tired
dia293_utt0	Others feel hurried, relieved they're in time, excited to save money	Jeff feels hurried, relieved they're in time, excited to save money
dia293_utt1	Others feel nan, proud, loved	Glenn feels nan, proud, loved
dia293_utt2	Others feel tired, good, happy.	Glenn feels tired, good, happy.
dia293_utt3	Others feel helpful, positive, like he is communicating	Jeff feels helpful, positive, like he is communicating
dia293_utt4	Others feel fat, learned, none	Glenn feels fat, learned, none
dia293_utt5	Others feel charmed, successful, successful	Jeff feels charmed, successful, successful
dia293_utt6	Others feel pleasure, happy, pleased	Jeff feels pleasure, happy, pleased
dia293_utt7	Others feel helpful, like they got something they needed, annoyed	Glenn feels helpful, like they got something they needed, annoyed
dia293_utt8	Others feel none, none, none	Glenn feels none, none, none
dia293_utt9	Others feel good, exhausted of energy., none	Glenn feels good, exhausted of energy., none
dia293_utt10	Others feel glad to have their friend on their team., hurt, none	Glenn feels glad to have their friend on their team., hurt, none
dia293_utt11	Others feel satisfied and happy, none, none	Glenn feels satisfied and happy, none, none
dia293_utt12	Others feel bored, curious, if he do well he feel better, good and satisfied, if not , he feel bad	Jeff feels bored, curious, if he do well he feel better, good and satisfied, if not , he feel bad
dia293_utt13	Others feel satisfied, none, none	Jeff feels satisfied, none, none
dia293_utt14	Others feel nervous, happy to be with a friend, sociable	Jeff feels nervous, happy to be with a friend, sociable
dia293_utt15	Others feel elated, excited, fulfilled	Jeff feels elated, excited, fulfilled
dia293_utt16	Others feel charmed, successful, successful	Jeff feels charmed, successful, successful
dia293_utt17	Others feel charmed, successful, successful	Glenn feels charmed, successful, successful
dia293_utt18	Others feel competitive, wanted, nan	Glenn feels competitive, wanted, nan
dia296_utt0	Others feel the need to voice their opinion, none, none	Jonah feels the need to voice their opinion, none, none
dia296_utt1	Others feel positive, none, entertained	Nico feels positive, none, entertained
